date,PriceUSD,CapMrktCurUSD,CapMVRVCur,SplyCur,IssTotUSD,IssTotNtv,HashRate,AdrActCnt
2021-03-30,195.683137477054,13174454129.14527320412998052874,1.82020163,67325444.07762331,1472515.60951483135,7525,286.0002398826478710351563580782170094727618,335398
2021-03-31,196.931402373199,13259867711.95408214000692996178,1.82905022,67332419.06654222,1373596.531553063025,6975,273.200142400290503683041637461152143125,220213
2021-04-01,202.666612759354,13647398767.23754665110356153552,1.87824755,67339156.56567688,1365466.303466147575,6737.5,263.8976289043094491421959945317341453754702,226364
2021-04-02,211.996774344775,14277194454.143739542807505262,1.95907107,67346281.55673928,1510477.017206521875,7125,279.0754133398231428150106922606035441860894,218112
2021-04-03,197.181185663074,13280883706.93447073067349636986,1.82349995,67353706.50234189,1464070.30354832445,7425,285.01787092955565795545652426160174125,207809
2021-04-04,202.713193969827,13655091466.77197753169447260676,1.85243427,67361631.47231788,1606502.062210878975,7925,300.2098439949321533762811677184279100282184,184557
2021-04-05,219.488367712929,14786839460.52049017498246458373,1.99513564,67369581.42520037,1744932.52331778555,7950,301.1568803282986808486264670723402973225862,246987
2021-04-06,238.027175088781,16037588257.92524642730155210154,2.10921301,67377131.42183634,1797105.17192029655,7550,298.283976195150979580717883036035270173683,295953
2021-04-07,221.133637988865,14900931289.38800378230794047835,1.94170239,67384281.40063579,1581105.51162038475,7150,302.924647383166003691072253114500677172208,222750
2021-04-08,226.099346872601,15237155794.22680937064745441076,1.97803975,67391418.88283476,1613784.0883031896375,7137.5,302.395056129666690760053424359262504077792,216349
2021-04-09,220.676399630811,14873229375.94022575868210453652,1.92905248,67398368.83700732,1533700.97743413645,6950,294.451230033197024156825656669162901086104,233232
2021-04-10,250.677403414199,16897090556.24883221226356429496,2.17725478,67405718.76887304,1842478.91509436265,7350,304.47223126065829985787403658865155902592,240440
2021-04-11,251.137091633351,16929984803.80806092021813647208,2.17224215,67413318.73240408,1908641.8964134676,7600,313.396151368678344595170191196798460605568,239516
2021-04-12,245.181175299088,16530407515.1024934381675673304,2.10863067,67421193.71496455,1930801.755480318,7875,324.7361423206296591351073899146515,264551
2021-04-13,266.465122946952,17967328526.33546934711169682688,2.25183181,67428443.64630944,1931872.141365402,7250,308.042080415115085450211697899973645718728,290980
2021-04-14,278.525988243316,18782405195.18194245823937358116,2.33794053,67435018.59070301,1831308.3726998027,6575,287.482909726353580592832071791721646044416,312419
2021-04-15,287.025729841427,19357486959.60956744419517726747,2.39566435,67441643.54291161,1901545.460199453875,6625,289.669093308953115608340809099576938488896,281310
2021-04-16,312.240975722629,21060081950.95217228185777464255,2.54499465,67448168.52500595,2037372.366590154225,6525,285.2967292918558860391813873300058,326655
2021-04-17,304.529103502948,20542096238.27118175331826502376,2.46088751,67455280.96322762,2165963.24866471765,7112.5,291.157137563152180927410267742033727096176,292224
2021-04-18,274.803481327746,18539151323.49232430368304265306,2.20642788,67463305.90106861,2205297.93765516165,8025,320.789795324369265136250639119594133089376,281494
2021-04-19,262.467778189086,17709010923.27322013463318550536,2.11268131,67471180.82630076,2066933.75323905225,7875,314.7937253251660275080322047675485,338061
2021-04-20,262.82667392965,17735092108.50290088357066763,2.1106775,67478280.8127382,1866069.384900515,7100,292.933115850629041415247988755999472255156,368233
2021-04-21,258.653133972881,17455295545.0755425262206527542,2.07646843,67485343.3127382,1826737.7586834720625,7062.5,303.17446705094979901041630224300239610506,367658
